clause_id,section,source_text,human_subject,human_obligation,human_condition,human_threshold,human_deadline,human_exception,notes
OBL-0220,Section 913,"As noted above, the standard for materiality for purposes of the Disclosure Obligation is consistent with the one the Supreme Court articulated in Basic v.",,,,,,,descriptive reference to materiality standard (Basic v. Levinson); sentence is cut off
OBL-0379,Section 206,But see NASAA August 2018 Letter (stating that only a transaction-by-transaction disclosure obligation will ensure that broker-dealers are meeting their “best interest” duties and provide investors the level of protection they deserve);,,,,,,,citation / commenter reference (NASAA)
OBL-0406,Section 206,"While certain cases and guidance have interpreted FINRA’s suitability rule to require that “a broker's recommendations must be consistent with his customers' best interests,” and FINRA has further interpreted the requirement to be “consistent with the customer’s best interest” to prohibit a broker-dealer from placing his or her interests ahead of the customer's interests, this obligation is not explicitly 569 See id.",,,,,,,descriptive reference to FINRA suitability rule interpretation; sentence is cut off
OBL-0501,Section 206,"This ambiguity, while designed to give maximum flexibility to broker-dealers, may in fact result in inconsistent application of the Proposed Rule nationwide and further add to the existing confusion.”) 314 believe this approach is appropriate, for the reasons discussed in the Proposing Release703 and also believe that our revised Conflict of Interest Obligation provides more specificity about how to address specific conflicts of interest, in conjunction with our Disclosure Obligation, which should address commenters’ concerns.",,,,,,,fragment of commenter quote + Commission response
OBL-0277,Section 2,"Standard of Conduct415 As stated in the Proposing Release, the Commission intended the Relationship Summary to touch on issues that are also contemplated under the Disclosure Obligation, such as facilitating greater awareness of key aspects of a relationship with a firm or financial professional, such as the applicable standard of conduct.416 Several commenters on Regulation Best Interest also requested that the Commission treat the standard of conduct applicable to a broker-dealer making the recommendation to its retail customer as a “material fact relating to the scope and terms of the relationship” that would likely need to be disclosed prior to, or at the time of the 415 See Section II.C.1.a, Disclosure Obligation, Capacity in Which the Broker-Dealer is Acting.",,,,,,,descriptive commentary about Relationship Summary and commenter requests
OBL-0763,Section III,"This approach was advocated by certain commenters, many of whom asserted that it would reduce retail investor confusion as it would ensure that investors are provided the same standard of care and loyalty regardless of what type of financial professional they engage.1338 As discussed above and in detail further below we believe, in practice, that such uniformity would be difficult to implement and disruptive to pursue as a result of various factors, including the key differences in the ways broker-dealers and investment 1337 See Proposing Release at footnotes 328-329.",,,,,,,descriptive commentary about commenter-advocated approach
OBL-0174,Section 913,"For purposes of Form CRS, “retail investor” is defined as “a natural person, or the legal representative of such natural person, who seeks to receive or receives services primarily for personal, family, or household purposes.” 297 Nevertheless, as discussed below where relevant, in some instances disclosures made pursuant to Form CRS may be sufficient to satisfy some aspects of the Disclosure Obligation.",,,,,,,definitional clause for 'retail investor' plus permissive note about Form CRS sufficiency
OBL-0497,Section 206,"In response, many commenters suggested that the scope of the description of financial incentives be narrowed as it was too broad and requested guidance or examples of material conflicts of interest that would not fall within the description of financial incentives.695 Specifically, a number of commenters suggested that the mitigation obligation should focus on financial incentives at the registered representative level as opposed to the firm level.696 A number of commenters suggested that the distinction between material conflicts and financial incentives should be removed altogether.697 Commenters also stated that the mitigation requirement is a higher standard of conduct than the 694 See Proposing Release at 21617.",,,,,,,describes commenter suggestions about scope of financial incentives
OBL-0589,Section 7,"Department of Labor’s Fiduciary Rule and Temporary Enforcement Policy As noted above, prior to the Fifth Circuit decision, many firms took steps to come into compliance with the DOL Fiduciary Rule, and in particular, the BIC Exemption and other PTEs, including changes to business practices.996 Following the decision by the Fifth Circuit, the DOL acknowledged that uncertainty about fiduciary obligations and the scope of exemptive relief under the prohibited transaction provisions of ERISA and the Internal Revenue Code following the court’s decision could temporarily disrupt existing investment advice arrangements during the transition period, and also that financial institutions had devoted significant resources to comply with PTEs issued in connection with the DOL Fiduciary Rule, including the BIC Exemption.997 Based on these 996 See supra footnotes 32-34 and accompanying text.",,,,,,,historical narrative about DOL Fiduciary Rule and Fifth Circuit decision
OBL-0091,Section 913,"48 staff’s Section 913 Study;94 or a uniform standard similar to the DOL standard as reflected in the BIC Exemption;95 harmonized requirements and guidance for broker-dealers and investment advisers offering services to retail customers;96 or a new uniform best interest standard, with common core elements.97 In this vein, a number of commenters suggested specific revisions to the text of the General Obligation to clarify what the standard requires with respect to broker-dealer conflicts of interest, including that the Commission change the proposed “without placing the financial or other interest [of the broker-dealer] ahead” language to a standard that requires a recommendation be made “without regard to” a broker-dealer’s interest98 and/or requires the broker-dealer to “place the customer’s interest first” or ahead of its own.99 These commenters stated that changing the proposed language to a “without regard to” and/or “place the customer’s interest first” phrasing would result in a stronger standard, whereas the proposed phrasing would allow a broker-dealer to act in its own interests as long as the broker-dealer does not put its 94 See, e.g., ACLI Letter;",,,,,,,long descriptive summary of commenter suggestions re General Obligation
OBL-0824,Section IV,"As noted above, the Commission recognizes that broker-dealers vary in the types of services and product offerings and therefore vary in the types of conflicts of interest that exist within and across broker-dealers.1506 However, for purposes of the PRA analysis in the Proposing Release, we assumed that broker-dealers would, at a minimum, engage in a material conflicts identification process on an annual basis, and we estimated that in the aggregate broker-dealers would spend approximately 1502 In light of the changes made to the rule text of the Conflict of Interest Obligation and the comments received, we have increased our estimate to 20 burden hours per broker-dealer.",,,,,,,PRA analysis assumptions and burden estimate narrative
OBL-0134,Section 15,"o • Descriptive information about an employer-sponsored retirement or benefit plan, participation in the plan, the benefits of plan participation, and the investment options available under the plan;181 • Asset allocation models that are: based on generally accepted investment theory, o accompanied by disclosures of all material facts and assumptions that may affect o a reasonable investor's assessment of the asset allocation model or any report generated by such model, and in compliance with FINRA Rule 2214 (Requirements for the Use of Investment o Analysis Tools) if the asset allocation model is an “investment analysis tool” covered by FINRA Rule 2214;182 and 181 While this descriptive information would be treated as “education” rather than a “recommendation,” we caution broker-dealers to ensure that communications by their associated persons intended as “education” do not cross the line into “recommendations.” See FINRA Regulatory Notice 13-45.",,,,,,,fragmentary bulleted list about 'education' vs 'recommendation'
OBL-0491,Section 206,"But see IRI Letter (“The 305 few commenters expressed agreement with allowing a flexible risk-based approach tailored to a broker-dealer’s business model as opposed to a detailed review of each recommendation.680 A few commenters expressed concern with the Commission’s assertion that policies and procedures may minimize compliance costs that may be passed on to retail customers, noting the uncertainty surrounding how conflicts of interest should be addressed by policies and procedures.681 One commenter suggested that the Commission should adopt a safe harbor for the Conflicts of Interest Obligation by demonstrating compliance with certain existing FINRA rules.682 As discussed below under the new Compliance Obligation, some commenters suggested that the policies and procedures requirement should apply to aspects of the entire rule.683 In consideration of the comments received, we are adopting the approach with respect to reasonably designed policies and procedures to identify and address conflicts of interest set forth in the proposal substantially as proposed.",,,,,,,long descriptive commentary summary of commenter positions
OBL-0898,Section II,"The projected initial, aggregate cost for small entities is therefore estimated to be $375,732.1664 Finally, we estimate it will require an additional 0.04 hours for the registered representative responsible for the information (or other clerical personnel) to fill out that information in the 1661 This estimate is based on the following calculation: (0 ongoing burden hours for policies and procedures) + (5,094 ongoing burden hours for training) = 5,094 ongoing burden hours to comply with Compliance Obligation.",,,,,,,cost/burden estimate narrative with numeric calculations
OBL-0733,Section V,"In the Proposing Release, these training costs were discussed as part of a separate general best interest obligation, and our assessment of those costs has not changed.1310 Broker-dealers also may incur costs related to training their associated persons on how to determine that they have a reasonable basis to believe that a recommendation is in a retail customer’s best interest.",,,,,,,descriptive/cost narrative about training costs
OBL-0214,Section 913,"162 In addition to these new obligations, FINRA Rule 2210 (regarding its members’ communications with the public) is designed to ensure that broker-dealer communications with the public are fair, balanced, and not misleading.361 This rule includes general standards, such as a requirement to not make any false or misleading statements, and specific content standards, such as requirements on how to disclose the broker-dealer’s name in marketing communications.362 Accordingly, we anticipate that FINRA will be reviewing the application of these rules in light of these new disclosure obligations.",,,,,,,descriptive statement about FINRA Rule 2210
OBL-0018,Section II,"Regulation Best Interest recommendations related to Regulation Best Interest: (1) that the meaning of the best interest obligation should be clarified to require both broker-dealers, investment advisers, and their associated persons to recommend the investments, investment strategies, accounts, or services, from among those they have reasonably available to recommend, that they reasonably believe represent the best available options for the investor;",,,,,,,fragmentary list item describing a commenter suggestion
OBL-0162,Section 913,"As stated in the Proposing Release, we understand that broker-dealers typically provide information about their services and accounts, which may include disclosures concerning the broker-dealer’s capacity, fees, services, and conflicts, on their firm websites and in their account 130 opening agreements.285 Furthermore, while broker-dealers are subject to a number of specific disclosure obligations when they effect certain customer transactions, and are subject to the antifraud provisions of the federal securities laws, broker-dealers are not currently subject to an explicit and broad disclosure requirement under the Exchange Act regarding the scope and terms of the broker-dealer relationship.286 To promote broker-dealer recommendations that are in the best interest of retail customers, we determined it was necessary to impose a more explicit and broader disclosure obligation on broker-dealers than that which currently exists under the federal securities laws and SRO rules.287 We solicited comment on the Disclosure Obligation and commenters addressed several aspects of this proposed obligation, including the interpretation of each required element, as discussed in the relevant secti",,,,,,,long meta-discussion about disclosure baseline and Commission determination
