clause_id,section,source_text,human_subject,human_obligation,human_condition,human_threshold,human_deadline,human_exception,notes
OBL-0589,Section 7,"Department of Labor’s Fiduciary Rule and Temporary Enforcement Policy As noted above, prior to the Fifth Circuit decision, many firms took steps to come into compliance with the DOL Fiduciary Rule, and in particular, the BIC Exemption and other PTEs, including changes to business practices.996 Following the decision by the Fifth Circuit, the DOL acknowledged that uncertainty about fiduciary obligations and the scope of exemptive relief under the prohibited transaction provisions of ERISA and the Internal Revenue Code following the court’s decision could temporarily disrupt existing investment advice arrangements during the transition period, and also that financial institutions had devoted significant resources to comply with PTEs issued in connection with the DOL Fiduciary Rule, including the BIC Exemption.997 Based on these 996 See supra footnotes 32-34 and accompanying text.",,,,,,,
OBL-0091,Section 913,"48 staff’s Section 913 Study;94 or a uniform standard similar to the DOL standard as reflected in the BIC Exemption;95 harmonized requirements and guidance for broker-dealers and investment advisers offering services to retail customers;96 or a new uniform best interest standard, with common core elements.97 In this vein, a number of commenters suggested specific revisions to the text of the General Obligation to clarify what the standard requires with respect to broker-dealer conflicts of interest, including that the Commission change the proposed “without placing the financial or other interest [of the broker-dealer] ahead” language to a standard that requires a recommendation be made “without regard to” a broker-dealer’s interest98 and/or requires the broker-dealer to “place the customer’s interest first” or ahead of its own.99 These commenters stated that changing the proposed language to a “without regard to” and/or “place the customer’s interest first” phrasing would result in a stronger standard, whereas the proposed phrasing would allow a broker-dealer to act in its own interests as long as the broker-dealer does not put its 94 See, e.g., ACLI Letter;",,,,,,,
OBL-0629,Section III,"For example, when a financial professional is aware that the broker-dealer’s disclosure is insufficient to describe “all material facts,” the associated person must supplement that disclosure, and may incur costs in developing such disclosure on their own to ensure they are in compliance with the Disclosure Obligation.1230 The magnitude of this cost will depend on the extent to which the financial professional cannot rely on the disclosure made by the broker-dealer.",,,,,,,
OBL-0567,Section 206,"Each broker- dealer when adopting policies and procedures should consider the nature of that firm’s operations and how to design such policies and procedures to prevent violations from occurring, detect violations that have occurred, and to correct promptly any violations that have occurred.813 A firm’s compliance policies and procedures should be reasonably designed to address and be proportionate to the scope, size, and risks associated with the operations of the firm and the types of business in which the firm engages.814 As such, the Commission is not mandating specific requirements pursuant to the Compliance Obligation.",,,,,,,
OBL-0824,Section IV,"As noted above, the Commission recognizes that broker-dealers vary in the types of services and product offerings and therefore vary in the types of conflicts of interest that exist within and across broker-dealers.1506 However, for purposes of the PRA analysis in the Proposing Release, we assumed that broker-dealers would, at a minimum, engage in a material conflicts identification process on an annual basis, and we estimated that in the aggregate broker-dealers would spend approximately 1502 In light of the changes made to the rule text of the Conflict of Interest Obligation and the comments received, we have increased our estimate to 20 burden hours per broker-dealer.",,,,,,,
OBL-0134,Section 15,"o • Descriptive information about an employer-sponsored retirement or benefit plan, participation in the plan, the benefits of plan participation, and the investment options available under the plan;181 • Asset allocation models that are: based on generally accepted investment theory, o accompanied by disclosures of all material facts and assumptions that may affect o a reasonable investor's assessment of the asset allocation model or any report generated by such model, and in compliance with FINRA Rule 2214 (Requirements for the Use of Investment o Analysis Tools) if the asset allocation model is an “investment analysis tool” covered by FINRA Rule 2214;182 and 181 While this descriptive information would be treated as “education” rather than a “recommendation,” we caution broker-dealers to ensure that communications by their associated persons intended as “education” do not cross the line into “recommendations.” See FINRA Regulatory Notice 13-45.",,,,,,,
OBL-0491,Section 206,"But see IRI Letter (“The 305 few commenters expressed agreement with allowing a flexible risk-based approach tailored to a broker-dealer’s business model as opposed to a detailed review of each recommendation.680 A few commenters expressed concern with the Commission’s assertion that policies and procedures may minimize compliance costs that may be passed on to retail customers, noting the uncertainty surrounding how conflicts of interest should be addressed by policies and procedures.681 One commenter suggested that the Commission should adopt a safe harbor for the Conflicts of Interest Obligation by demonstrating compliance with certain existing FINRA rules.682 As discussed below under the new Compliance Obligation, some commenters suggested that the policies and procedures requirement should apply to aspects of the entire rule.683 In consideration of the comments received, we are adopting the approach with respect to reasonably designed policies and procedures to identify and address conflicts of interest set forth in the proposal substantially as proposed.",,,,,,,
OBL-0193,Section 913,"142 disclose310 and the form that disclosure should take.311 In addition, some commenters requested clarity on the types of services that a broker-dealer would be required to disclose, including limitations on securities offered312 and account monitoring services.313 As discussed below, in response to comments, we have revised the Disclosure Obligation to require disclosure of “all material facts relating to the scope and terms of the relationship with the retail customer, including: (i) that the broker, dealer or such natural person is acting as a broker, dealer or an associated person of a broker-dealer with respect to the recommendation;",,,,,,,
OBL-0898,Section II,"The projected initial, aggregate cost for small entities is therefore estimated to be $375,732.1664 Finally, we estimate it will require an additional 0.04 hours for the registered representative responsible for the information (or other clerical personnel) to fill out that information in the 1661 This estimate is based on the following calculation: (0 ongoing burden hours for policies and procedures) + (5,094 ongoing burden hours for training) = 5,094 ongoing burden hours to comply with Compliance Obligation.",,,,,,,
OBL-0138,Section 15,"98 Where a financial professional who is dually registered (i.e., an associated person of a broker-dealer and a supervised person of an investment adviser (regardless of whether the professional works for a dual-registrant, affiliated firm, or unaffiliated firm)) is making an account recommendation to a retail customer,202 whether Regulation Best Interest or the Advisers Act will apply will depend on the capacity in which the financial professional making the recommendation is acting.203 As discussed further in the Care Obligation, if the individual is acting as a broker-dealer or associated person thereof, he or she must comply with Regulation Best Interest and will need to take into consideration all types of accounts offered by the 202 As discussed in more detail below in Section II.B.3.b, Regulation Best Interest applies to a retail customer who receives a recommendation and uses the recommendation.",,,,,,,
OBL-0224,Section 913,"Although the fees and costs identified in the Relationship Summary may provide a useful starting point for the identification of the material fees and costs that may be disclosed pursuant to the Disclosure Obligation, there may be other categories of fees and costs that are material under the facts and circumstances of a broker-dealer’s business model that must be disclosed pursuant to the Disclosure Obligation.",,,,,,,
OBL-0791,Section III,"Obligation to Provide to the Retail Customer Full and Fair Disclosure, in Writing, of All Material Facts Relating to Conflicts of Interest that are Associated with the Recommendation Regulation Best Interest requires a broker-dealer to provide the retail customer, in writing, full and fair disclosure of all material facts relating to conflicts of interest that are associated with a recommendation.",,,,,,,
OBL-0444,Section 206,"611 Proposing Release at 21611 (noting the proposed definition of Retail Customer Investment Profile was consistent with FINRA Rule 2111(a) (Suitability), which provides that “A customer's investment profile includes, but is not limited to, the customer’s age, other investments, financial situation and needs, tax status, investment objectives, 273 required to exercise “reasonable diligence” to ascertain the retail customer’s investment profile as part of satisfying proposed paragraph (a)(2)(i)(B), and that when retail customer information is unavailable despite a broker-dealer’s reasonable diligence to obtain such information, a broker-dealer should consider whether it has sufficient understanding of the retail customer to properly evaluate whether the recommendation is in the retail customer’s best interest.612 Furthermore, under the proposed rule, a broker-dealer would not meet its Care Obligation if it made a recommendation to a retail customer for whom it lacks sufficient information to have a reasonable basis to believe that the recommendation is in the best interest of that retail customer based on such customer’s investment profile.",,,,,,,
OBL-0166,Section 913,"Similar to what was proposed, broker- dealers will need to disclose in writing prior to or at the time of a recommendation any material facts that relate to the “scope and terms of the relationship.” As to what constitutes a “material” fact related to the “scope and terms of the relationship,” the standard for materiality for purposes of the Disclosure Obligation is consistent with the one the Supreme Court articulated in Basic v.",,,,,,,
OBL-0733,Section V,"In the Proposing Release, these training costs were discussed as part of a separate general best interest obligation, and our assessment of those costs has not changed.1310 Broker-dealers also may incur costs related to training their associated persons on how to determine that they have a reasonable basis to believe that a recommendation is in a retail customer’s best interest.",,,,,,,
OBL-0575,Section 3,"Among other things, they require that a broker-dealer or associated person “have a reasonable basis to believe that a recommended transaction or investment strategy involving a security or securities is suitable for the customer, based on the information obtained through the reasonable diligence of the [firm] or associated person to ascertain the customer’s investment profile.”852 While a suitable recommendation must take into account the elements of a retail customer’s investment profile that make securities transactions or an investment strategy efficient for that particular retail customer, this requirement for suitability may not lead to an efficient result for the retail customer.",,,,,,,
OBL-0601,Section III,"Second, Regulation Best Interest requires that any disclosure made by a broker- dealer be “full and fair,” meaning that the broker-dealer is required to provide sufficient information to enable a retail investor to make an informed decision with regard to the recommendation, even where this information is about aspects of the relationship between a retail customer and a broker-dealer that may already require disclosure, implicitly or explicitly, under the baseline.",,,,,,,
OBL-0810,Section IV,"693 customer and any conflicts of interest associated with such limitations, in accordance with the Disclosure Obligation, and (B) prevent such limitations and associated conflicts of interest from causing the broker, dealer, or a natural person who is an associated person of the broker or dealer to make recommendations that place the interest of the broker, dealer, or such natural person ahead of the interest of the retail customer;",,,,,,,
OBL-0084,Section II,"Overview of Key Enhancements With these modifications and clarifications, Regulation Best Interest is designed to improve investor protection by: • requiring broker-dealers to have a reasonable basis to believe that recommendations are in the retail customer’s best interest, which enhances existing suitability obligations by: requiring compliance not only with the explicit Care Obligation, but also with Disclosure, Conflict of Interest, and Compliance Obligations;",,,,,,,
OBL-0214,Section 913,"162 In addition to these new obligations, FINRA Rule 2210 (regarding its members’ communications with the public) is designed to ensure that broker-dealer communications with the public are fair, balanced, and not misleading.361 This rule includes general standards, such as a requirement to not make any false or misleading statements, and specific content standards, such as requirements on how to disclose the broker-dealer’s name in marketing communications.362 Accordingly, we anticipate that FINRA will be reviewing the application of these rules in light of these new disclosure obligations.",,,,,,,
OBL-0018,Section II,"Regulation Best Interest recommendations related to Regulation Best Interest: (1) that the meaning of the best interest obligation should be clarified to require both broker-dealers, investment advisers, and their associated persons to recommend the investments, investment strategies, accounts, or services, from among those they have reasonably available to recommend, that they reasonably believe represent the best available options for the investor;",,,,,,,
OBL-0162,Section 913,"As stated in the Proposing Release, we understand that broker-dealers typically provide information about their services and accounts, which may include disclosures concerning the broker-dealer’s capacity, fees, services, and conflicts, on their firm websites and in their account 130 opening agreements.285 Furthermore, while broker-dealers are subject to a number of specific disclosure obligations when they effect certain customer transactions, and are subject to the antifraud provisions of the federal securities laws, broker-dealers are not currently subject to an explicit and broad disclosure requirement under the Exchange Act regarding the scope and terms of the broker-dealer relationship.286 To promote broker-dealer recommendations that are in the best interest of retail customers, we determined it was necessary to impose a more explicit and broader disclosure obligation on broker-dealers than that which currently exists under the federal securities laws and SRO rules.287 We solicited comment on the Disclosure Obligation and commenters addressed several aspects of this proposed obligation, including the interpretation of each required element, as discussed in the relevant secti",,,,,,,
OBL-0191,Section 913,"Material Facts Regarding Scope and Terms of the Relationship As discussed above, the proposed Disclosure Obligation would require a broker-dealer to, among other things, “prior to or at the time of such recommendation, reasonably disclose to the retail customer, in writing, the material facts relating to the scope and terms of the relationship with the retail customer.” We proposed to consider the following to be examples of material facts relating to the scope and terms of the relationship with the retail customer: (i) that the broker-dealer was acting in a broker-dealer capacity with respect to the recommendation;",,,,,,,
OBL-0022,Section II,"When making a recommendation, a broker-dealer must act in the retail customer’s best interest and cannot place its own interests ahead of the customer’s interests (hereinafter, “General Obligation”).15 The General Obligation is satisfied only if the broker- dealer complies with four specified component obligations.",,,,,,,
