clause_id,doc_id,section,text,subject_gt,obligation_gt,condition_gt,threshold_gt,deadline_gt,exception_gt,human_reviewed
OBL-0011,basel3,Preamble,"Banks must perform due diligence to ensure that the external ratings appropriately and
conservatively reflect the creditworthiness of the bank counterparties.",Banks,must perform due diligence to ensure that the external ratings appropriately and conservatively reflect the creditworthiness of the bank counterparties,,,,,TRUE
OBL-0012,basel3,Preamble,"A+ to A– etc), the bank must assign a risk weight at least one bucket higher than the “base” risk weight
determined by the external rating.",the bank,"must assign a risk weight at least one bucket higher than the ""base"" risk weight determined by the external rating",ratings in the A+ to A– range,at least one bucket higher,,,TRUE
OBL-0013,basel3,Preamble,"Due diligence analysis must never result in the application of a lower
risk weight than that determined by the external rating.",Due diligence analysis,Due diligence analysis must never result in the application of a lower risk weight than that determined by the external rating,Due diligence analysis,risk weight not lower than external rating determination,,,TRUE
OBL-0014,basel3,Preamble,"A counterparty bank classified into Grade A must meet or exceed the published minimum
regulatory requirements and buffers established by its national supervisor as implemented in the
jurisdiction where it is incorporated, except for bank-specific minimum regulatory requirements or buffers
that may be imposed through supervisory actions (eg via Pillar 2) and not made public.",A counterparty bank classified into Grade A,must meet or exceed the published minimum regulatory requirements and buffers established by its national supervisor as implemented in the jurisdiction where it is incorporated,classified into Grade A,published minimum regulatory requirements and buffers,,except for bank-specific minimum regulatory requirements or buffers that may be imposed through supervisory actions (eg via Pillar 2) and not made public,TRUE
OBL-0015,basel3,Preamble,"If such minimum
regulatory requirements and buffers (other than bank-specific minimum requirements or buffers) are not
publicly disclosed or otherwise made available by the counterparty bank then the counterparty bank must
be assessed as Grade B or lower.",counterparty bank,must be assessed as Grade B or lower,if minimum regulatory requirements and buffers (other than bank-specific minimum requirements or buffers) are not publicly disclosed or otherwise made available,Grade B or lower,,bank-specific minimum requirements or buffers,TRUE
OBL-0016,basel3,Preamble,"If as part of its due diligence, a bank assesses that a counterparty bank does not meet the
definition of Grade A in paragraphs 22 and 23, exposures to the counterparty bank must be classified as
Grade B or Grade C.",bank,exposures to the counterparty bank must be classified as Grade B or Grade C,"if as part of its due diligence, a bank assesses that a counterparty bank does not meet the definition of Grade A in paragraphs 22 and 23",,,,TRUE
OBL-0017,basel3,Preamble,"A counterparty bank classified into Grade B must meet or exceed the published minimum
regulatory requirements (excluding buffers) established by its national supervisor as implemented in the
18 Under the Standardised Credit Risk Assessment Approach, exposures to banks without an external credit rating may receive a
risk weight of 30%, provided that the counterparty bank has a CET1 ratio which meets or exceeds 14% and a Tier 1 leverage
ratio which meets or exceeds 5%.",exposures to banks without an external credit rating,may receive a risk weight of 30%,provided that the counterparty bank has a CET1 ratio which meets or exceeds 14% and a Tier 1 leverage ratio which meets or exceeds 5%,CET1 ratio which meets or exceeds 14% and a Tier 1 leverage ratio which meets or exceeds 5%,,,TRUE
OBL-0018,basel3,Preamble,The counterparty bank must also satisfy all the requirements for Grade A classification.,counterparty bank,satisfy all the requirements for Grade A classification,,all the requirements,,,TRUE
OBL-0019,basel3,Preamble,"If such minimum regulatory
requirements are not publicly disclosed or otherwise made available by the counterparty bank then the
counterparty bank must be assessed as Grade C.",counterparty bank,must be assessed as Grade C,If such minimum regulatory requirements are not publicly disclosed or otherwise made available by the counterparty bank,,,,TRUE
OBL-0020,basel3,Preamble,"At a minimum, if any of the following triggers is breached, a bank must classify the exposure into
Grade C:
• The counterparty bank does not meet the criteria for being classifed as Grade B with respect to
its published minimum regulatory requirements, as set out in paragraphs 25 and 26;",bank,must classify the exposure into Grade C,"if any of the following triggers is breached: The counterparty bank does not meet the criteria for being classified as Grade B with respect to its published minimum regulatory requirements, as set out in paragraphs 25 and 26",,,,TRUE
OBL-0021,basel3,Preamble,"In that case, the exposure to such counterparty bank must be classified into
Grade C.",the exposure to such counterparty bank,must be classified into Grade C,"In that case, the exposure to such counterparty bank",,,,TRUE
OBL-0022,basel3,Preamble,"Proceeds deriving from the issue of these
bonds must be invested in conformity with the law in assets which, during the whole period of the validity
of the bonds, are capable of covering claims attached to the bonds and which, in the event of the failure
of the issuer, would be used on a priority basis for the reimbursement of the principal and payment of the
accrued interest.",issuer,must invest proceeds from bond issuance in conformity with law in assets capable of covering claims and used on priority basis for reimbursement in case of failure,proceeds deriving from the issue of bonds,,during the whole period of the validity of the bonds,,TRUE
OBL-0023,basel3,Preamble,"In order to be eligible for the risk weights set out in paragraph 35, the underlying assets (the
cover pool) of covered bonds as defined in paragraph 32 shall meet the requirements set out in paragraph
34 and shall include any of the following:
• claims on, or guaranteed by, sovereigns, their central banks, public sector entities or multilateral
development banks;",underlying assets (cover pool) of covered bonds,"underlying assets (cover pool) shall meet requirements and include claims on or guaranteed by sovereigns, central banks, public sector entities or multilateral development banks",to be eligible for the risk weights set out in paragraph 35,,,,TRUE
OBL-0024,basel3,Preamble,"The conditions set out in this paragraph must be satisfied at the inception of the covered bond
and throughout its remaining maturity.",,The conditions set out in this paragraph must be satisfied,at the inception of the covered bond and throughout its remaining maturity,,at the inception of the covered bond and throughout its remaining maturity,,TRUE
OBL-0025,basel3,Preamble,"Covered bonds that meet the criteria set out in the paragraphs 33 and 34 shall be risk-weighted
based on the issue-specific rating or the issuer’s risk weight according to the rules outlined in paragraphs
98 to 116.",Covered bonds that meet the criteria set out in the paragraphs 33 and 34,shall be risk-weighted based on the issue-specific rating or the issuer's risk weight according to the rules outlined in paragraphs 98 to 116,meet the criteria set out in the paragraphs 33 and 34,,,,TRUE
OBL-0026,basel3,Preamble,"For covered bonds with issue-specific ratings,21 the risk weight shall be determined according
to Table 8.",covered bonds with issue-specific ratings,the risk weight shall be determined according to Table 8,For covered bonds with issue-specific ratings,,,,TRUE
OBL-0027,basel3,Preamble,"Banks must perform due diligence to ensure that the external ratings appropriately and
conservatively reflect the creditworthiness of the covered bond and the issuing bank.",Banks,must perform due diligence to ensure that the external ratings appropriately and conservatively reflect the creditworthiness of the covered bond and the issuing bank,,,,,TRUE
OBL-0028,basel3,Preamble,"A+ to A– etc), the bank must assign a risk weight at least one bucket higher than the
“base” risk weight determined by the external rating.",the bank,"must assign a risk weight at least one bucket higher than the ""base"" risk weight determined by the external rating",when ratings are A+ to A– etc,at least one bucket higher,,,TRUE
OBL-0029,basel3,Preamble,"Due diligence analysis must never result in the
application of a lower risk weight than that determined by the external rating.",Due diligence analysis,Due diligence analysis must never result in the application of a lower risk weight than that determined by the external rating,Due diligence analysis,lower risk weight than that determined by the external rating,,,TRUE
OBL-0030,basel3,Preamble,"For corporate exposures of banks incorporated in jurisdictions that allow the use of external
ratings for regulatory purposes, banks will assign “base” risk weights according to Table 10.22 Banks must
perform due diligence to ensure that the external ratings appropriately and conservatively reflect the
creditworthiness of the counterparties.",banks,assign base risk weights according to Table 10.22 and perform due diligence to ensure that external ratings appropriately and conservatively reflect the creditworthiness of counterparties,for corporate exposures of banks incorporated in jurisdictions that allow the use of external ratings for regulatory purposes,,,,TRUE
OBL-0031,basel3,Preamble,"Banks which have assigned risk weights to their rated bank
exposures based on paragraph 18 must assign risk weights for all their corporate exposures according to
Table 10.",Banks which have assigned risk weights to their rated bank exposures based on paragraph 18,must assign risk weights for all their corporate exposures according to Table 10,having assigned risk weights to their rated bank exposures based on paragraph 18,,,,TRUE
OBL-0032,basel3,Preamble,"A+ to A– etc), the bank must assign a risk weight at least
one bucket higher than the “base” risk weight determined by the external rating.",the bank,"must assign a risk weight at least one bucket higher than the ""base"" risk weight determined by the external rating",when ratings fall within A+ to A– range,at least one bucket higher,,,TRUE
OBL-0033,basel3,Preamble,"Due diligence analysis
must never result in the application of a lower risk weight than that determined by the external rating.",,Due diligence analysis must never result in the application of a lower risk weight than that determined by the external rating,When conducting due diligence analysis,Risk weight must not be lower than external rating determination,,,TRUE
OBL-0034,basel3,Preamble,"Banks must apply the treatment set out in this paragraph to their corporate exposures if they
have assigned risk weights to their rated bank exposures based on paragraph 21.",Banks,must apply the treatment set out in this paragraph to their corporate exposures,if they have assigned risk weights to their rated bank exposures based on paragraph 21,,,,TRUE
OBL-0035,basel3,Preamble,"Moreover, the corporate entity
(or its parent company) must have securities outstanding on a recognised securities exchange.",corporate entity (or its parent company),must have securities outstanding on a recognised securities exchange,,,,,TRUE
OBL-0036,basel3,Preamble,"• The borrowing entity has few or no other material assets or activities, and therefore little or no
independent capacity to repay the obligation, apart from the income that it receives from the
asset(s) being financed.",borrowing entity,repay the obligation,"has few or no other material assets or activities, and therefore little or no independent capacity to repay the obligation, apart from the income that it receives from the asset(s) being financed",,,,TRUE
OBL-0037,basel3,Preamble,"The primary source of repayment of the obligation is the income
generated by the asset(s), rather than the independent capacity of the borrowing entity;",borrowing entity,"the primary source of repayment of the obligation is the income generated by the asset(s), rather than the independent capacity of the borrowing entity",,,,,TRUE
OBL-0038,basel3,Preamble,"and
• The terms of the obligation give the lender a substantial degree of control over the asset(s) and
the income that it generates.",lender,the terms of the obligation give the lender a substantial degree of control over the asset(s) and the income that it generates,when the terms of the obligation are structured,substantial degree of control,,,TRUE
OBL-0039,basel3,Preamble,"Issuer ratings must not be used (ie paragraph 107
does not apply in the case of specialised lending exposures).",,Issuer ratings must not be used,in the case of specialised lending exposures,,,,TRUE
OBL-0040,basel3,Preamble,"For this
purpose, operational phase is defined as the phase in which the entity that was specifically
created to finance the project has (i) a positive net cash flow that is sufficient to cover any
remaining contractual obligation, and (ii) declining long term debt.",entity that was specifically created to finance the project,,operational phase defined as having (i) positive net cash flow sufficient to cover remaining contractual obligations and (ii) declining long term debt,positive net cash flow sufficient to cover any remaining contractual obligation,,,TRUE
OBL-0041,basel3,Preamble,"The following conditions must
also be met:
• The project finance entity is restricted from acting to the detriment of the creditors (eg by not
being able to issue additional debt without the consent of existing creditors);",project finance entity,must be restricted from acting to the detriment of the creditors,The following conditions must also be met,,,,TRUE
OBL-0042,basel3,Preamble,"• The project finance entity’s revenue depends on one main counterparty and this main
counterparty shall be a central government, PSE or a corporate entity with a risk weight of 80%
or lower;",project finance entity,"main counterparty shall be a central government, PSE or a corporate entity with a risk weight of 80% or lower",project finance entity's revenue depends on one main counterparty,80% risk weight,,,TRUE
OBL-0043,basel3,Preamble,• It does not embody an obligation on the part of the issuer;,issuer,does not embody an obligation,,,,,TRUE
OBL-0044,basel3,Preamble,"Additionally any of the following instruments must be categorised as an equity exposure:
23 Availability-based revenues mean that once construction is completed, the project finance entity is entitled to payments from
its contractual counterparties (eg the government), as long as contract conditions are fulfilled.",any of the following instruments,must be categorised as an equity exposure,any of the following instruments,,,,TRUE
OBL-0045,basel3,Preamble,"• An instrument that embodies an obligation on the part of the issuer and meets any of the
following conditions:
1) The issuer may defer indefinitely the settlement of the obligation;",issuer,may defer indefinitely the settlement of the obligation,instrument that embodies an obligation on the part of the issuer,,indefinitely,,TRUE
OBL-0046,basel3,Preamble,"2) The obligation requires (or permits at the issuer’s discretion) settlement by issuance of
a fixed number of the issuer’s equity shares;",issuer,settlement by issuance of a fixed number of the issuer's equity shares,The obligation requires (or permits at the issuer's discretion),fixed number,,,TRUE
OBL-0047,basel3,Preamble,"3) The obligation requires (or permits at the issuer’s discretion) settlement by issuance of
a variable number of the issuer’s equity shares and (ceteris paribus) any change in the
value of the obligation is attributable to, comparable to, and in the same direction as,
the change in the value of a fixed number of the issuer’s equity shares;25 or,
4) The holder has the option to require that the obligation be settled in equity shares,
unless either (i) in the case of a traded instrument, the supe",issuer,"settlement by issuance of variable number of equity shares where value changes match fixed number of shares, or holder option for equity settlement","when obligation requires/permits settlement by variable equity shares with comparable value changes, or holder has equity settlement option",,,supervisor is content with bank's demonstration that traded instrument trades more like debt or non-traded instrument should be treated as debt position,TRUE
OBL-0048,basel3,Preamble,"Debt obligations and other securities, partnerships, derivatives or other vehicles structured with
the intent of conveying the economic substance of equity ownership are considered an equity holding.26
This includes liabilities from which the return is linked to that of equities.27 Conversely, equity investments
that are structured with the intent of conveying the economic substance of debt holdings or securitisation
exposures would not be considered an equity holding.28
25 For certain obligatio",Regulated financial entities,"Must classify debt obligations, securities, partnerships, derivatives or other vehicles structured with the intent of conveying economic substance of equity ownership as equity holdings, including liabilities with returns linked to equities; must not classify equity investments structured with intent of conveying economic substance of debt holdings or securitisation exposures as equity holdings",When instruments are structured with the intent of conveying the economic substance of equity ownership OR when liabilities have returns linked to equities OR when equity investments are structured with intent of conveying economic substance of debt holdings or securitisation exposures,,,Equity investments that are structured with the intent of conveying the economic substance of debt holdings or securitisation exposures would not be considered an equity holding,TRUE
OBL-0049,basel3,Preamble,"For example, an issuer may be required to settle an obligation by issuing shares with a value equal to three
times the appreciation in the fair value of 1,000 equity shares.",issuer,"settle an obligation by issuing shares with a value equal to three times the appreciation in the fair value of 1,000 equity shares",,"three times the appreciation in the fair value of 1,000 equity shares",,,TRUE
OBL-0050,basel3,Preamble,"That obligation is considered to be the same as an obligation
that requires settlement by issuance of shares equal to the appreciation in the fair value of 3,000 equity shares.",,"settlement by issuance of shares equal to the appreciation in the fair value of 3,000 equity shares",,"3,000 equity shares",,,TRUE
OBL-0051,basel3,Preamble,"To apply the risk-weights in Tables 11, 12, 13 and 14 and the approaches set out in paragraphs
65 and 71, the loan must meet the following requirements:
• Finished property: the property securing the exposure must be fully completed.",the loan,must meet the requirement that the property securing the exposure must be fully completed,"To apply the risk-weights in Tables 11, 12, 13 and 14 and the approaches set out in paragraphs 65 and 71",,,,TRUE
OBL-0052,basel3,Preamble,"The calculation must be done on the portfolio
of retail exposures that meet the product and orientation criteria as well as the low value of the exposure.",The calculation,The calculation must be done,on the portfolio of retail exposures that meet the product and orientation criteria as well as the low value of the exposure,low value of the exposure,,,TRUE
OBL-0053,basel3,Preamble,"or (ii) where the sovereign or PSEs involved have the legal powers and ability to
ensure that the property under construction will be finished.",sovereign or PSEs,ensure that the property under construction will be finished,where the sovereign or PSEs involved have the legal powers and ability,,,,TRUE
OBL-0054,basel3,Preamble,"• Legal enforceability: any claim on the property taken must be legally enforceable in all relevant
jurisdictions.",,any claim on the property taken must be legally enforceable in all relevant jurisdictions,when property is taken,,,,TRUE
OBL-0055,basel3,Preamble,"The collateral agreement and the legal process underpinning it must be such that
they provide for the bank to realise the value of the property within a reasonable time frame.",the bank,must be such that they provide for the bank to realise the value of the property,when realising collateral property,,within a reasonable time frame,,TRUE
OBL-0056,basel3,Preamble,"and (ii) where the sale of the property is not carried out by means
of a public auction, entities holding a senior lien take reasonable steps to obtain a fair market
value or the best price that may be obtained in the circumstances when exercising any power of
sale on their own (ie it is not possible for the entity holding the senior lien to sell the property on
its own at a discounted value in detriment of the junior lien).35
• Ability of the borrower to repay: the borrower must meet the requir",entities holding a senior lien,take reasonable steps to obtain a fair market value or the best price that may be obtained in the circumstances when exercising any power of sale on their own,where the sale of the property is not carried out by means of a public auction,,,,TRUE
OBL-0057,basel3,Preamble,"• Prudent value of property: the property must be valued according to the criteria in paragraph 62
for determining the value in the loan to value (LTV) ratio.",property,the property must be valued according to the criteria in paragraph 62 for determining the value in the loan to value (LTV) ratio,for determining prudent value of property,,,,TRUE
OBL-0058,basel3,Preamble,"Moreover, the value of the property
must not depend materially on the performance of the borrower.",the value of the property,the value of the property must not depend materially on the performance of the borrower,,materially,,,TRUE
OBL-0059,basel3,Preamble,"Instead, they are typically provided as loans that are guaranteed by a highly rated monoline guarantor
that is required to repay the bank in full if the borrower defaults, and where the bank has legal right to take a mortgage on the
property in the event that the guarantor fails.",monoline guarantor,repay the bank in full if the borrower defaults,if the borrower defaults,in full,,,TRUE
OBL-0060,basel3,Preamble,"These loans may be treated as residential real estate exposures (rather than
guaranteed loans) if the following additional conditions are met:
(i) the borrower shall be contractually committed not to grant any mortgage lien without the consent of the bank that
granted the loan;",the borrower,shall be contractually committed not to grant any mortgage lien without the consent of the bank that granted the loan,if the following additional conditions are met for loans to be treated as residential real estate exposures rather than guaranteed loans,,,,TRUE
OBL-0061,basel3,Preamble,"(ii) the guarantor shall be either a bank or a financial institution subject to capital requirements comparable to those applied
to banks or an insurance undertaking;",the guarantor,shall be either a bank or a financial institution subject to capital requirements comparable to those applied to banks or an insurance undertaking,,capital requirements comparable to those applied to banks,,,TRUE
OBL-0062,basel3,Preamble,"(iii) the guarantor shall establish a fully-funded mutual guarantee fund or equivalent protection for insurance undertakings
to absorb credit risk losses, whose calibration shall be periodically reviewed by its supervisors and subject to periodic
stress testing;",the guarantor,shall establish a fully-funded mutual guarantee fund or equivalent protection for insurance undertakings to absorb credit risk losses,whose calibration shall be periodically reviewed by its supervisors and subject to periodic stress testing,fully-funded,,,TRUE
OBL-0063,basel3,Preamble,"and
(iv) the bank shall be contractually and legally allowed to take a mortgage on the property in the event that the guarantor
fails.",the bank,shall be contractually and legally allowed to take a mortgage on the property,in the event that the guarantor fails,,,,TRUE
OBL-0064,basel3,Preamble,"Basel III: Finalising post-crisis reforms 19
• Required documentation: all the information required at loan origination and for monitoring
purposes must be properly documented, including information on the ability of the borrower to
repay and on the valuation of the property.",financial institutions,"properly document all required information at loan origination and for monitoring purposes, including borrower repayment ability and property valuation information",at loan origination and for monitoring purposes,,,,TRUE
OBL-0065,basel3,Preamble,"National supervisors should ensure that banks put in place underwriting policies with respect to
the granting of mortgage loans that include the assessment of the ability of the borrower to repay.",National supervisors,should ensure that banks put in place underwriting policies with respect to the granting of mortgage loans that include the assessment of the ability of the borrower to repay,with respect to the granting of mortgage loans,,,,TRUE
OBL-0066,basel3,Preamble,"Underwriting policies must define a metric(s) (such as the loan’s debt service coverage ratio) and specify
its (their) corresponding relevant level(s) to conduct such assessment.36 Underwriting policies must also
be appropriate when the repayment of the mortgage loan depends materially on the cash flows generated
by the property, including relevant metrics (such as an occupancy rate of the property).",Underwriting policies,"must define a metric(s) (such as the loan's debt service coverage ratio) and specify its corresponding relevant level(s) to conduct such assessment, and must also be appropriate when the repayment of the mortgage loan depends materially on the cash flows generated by the property, including relevant metrics (such as an occupancy rate of the property)",when the repayment of the mortgage loan depends materially on the cash flows generated by the property,,,,TRUE
OBL-0067,basel3,Preamble,"The value of the
property will be maintained at the value measured at origination unless national supervisors elect to
require banks to revise the property value downward.37 The value must be adjusted if an extraordinary,
idiosyncratic event occurs resulting in a permanent reduction of the property value.",banks,maintain property value at origination value and adjust value downward if extraordinary idiosyncratic event occurs resulting in permanent reduction,"unless national supervisors elect to require revision downward, or if extraordinary idiosyncratic event occurs resulting in permanent reduction of property value",value measured at origination,,national supervisors may elect to require banks to revise property value downward,TRUE
OBL-0068,basel3,Preamble,"The LTV ratio must be prudently calculated in accordance with the following requirements:
• Amount of the loan: includes the outstanding loan amount and any undrawn committed amount
of the mortgage loan.38 The loan amount must be calculated gross of any provisions and other
risk mitigants, except for pledged deposits accounts with the lending bank that meet all
requirements for on-balance sheet netting and have been unconditionally and irrevocably
pledged for the sole purposes of redemption of t",regulated entities calculating LTV ratios,must prudently calculate the LTV ratio in accordance with specified requirements for loan amount calculation,when calculating LTV ratios,,,pledged deposits accounts with the lending bank that meet all requirements for on-balance sheet netting and have been unconditionally and irrevocably pledged for the sole purposes of redemption of the mortgage loan,TRUE
OBL-0069,basel3,Preamble,"39 In jurisdictions where junior liens held by a different bank than that holding the senior lien are recognised (in accordance
with paragraph 60), the loan amount of the junior liens must include all other loans secured with liens of equal or higher
ranking than the bank’s lien securing the loan for purposes of defining the LTV bucket and risk weight for the junior lien.",the loan amount of the junior liens,must include all other loans secured with liens of equal or higher ranking than the bank's lien securing the loan for purposes of defining the LTV bucket and risk weight for the junior lien,In jurisdictions where junior liens held by a different bank than that holding the senior lien are recognised (in accordance with paragraph 60),,,,TRUE
OBL-0070,basel3,Preamble,"20 Basel III: Finalising post-crisis reforms
• Value of the property: the valuation must be appraised independently40 using prudently
conservative valuation criteria.",the valuation,the valuation must be appraised independently using prudently conservative valuation criteria,Value of the property,,,,TRUE
OBL-0071,basel3,Preamble,"To ensure that the value of the property is appraised in a prudently
conservative manner, the valuation must exclude expectations on price increases and must be
adjusted to take into account the potential for the current market price to be significantly above
the value that would be sustainable over the life of the loan.",the valuation,must exclude expectations on price increases and must be adjusted to take into account the potential for the current market price to be significantly above the value that would be sustainable over the life of the loan,To ensure that the value of the property is appraised in a prudently conservative manner,,,,TRUE
OBL-0072,basel3,Preamble,"however, the LTV bucket and risk weight to be applied to the exposure amount must
be determined before the application of the appropriate credit risk mitigation technique.",,the LTV bucket and risk weight to be applied to the exposure amount must be determined before the application of the appropriate credit risk mitigation technique,when applying credit risk mitigation techniques,,before the application of the appropriate credit risk mitigation technique,,TRUE
OBL-0073,basel3,Preamble,"For example, for a loan of €70,000 to an
40 The valuation must be done independently from the bank’s mortgage acquisition, loan processing and loan decision process.",bank,"The valuation must be done independently from the bank's mortgage acquisition, loan processing and loan decision process",for a loan,"€70,000",,,TRUE
OBL-0074,basel3,Preamble,"• pre-sale or pre-lease contracts amount to a signficant portion of total contracts or substantial
equity at risk.52 Pre-sale or pre-lease contracts must be legally binding written contracts and the
purchaser/renter must have made a substantial cash deposit which is subject to forfeiture if the
contract is terminated.",Pre-sale or pre-lease contracts,must be legally binding written contracts and the purchaser/renter must have made a substantial cash deposit which is subject to forfeiture if the contract is terminated,when pre-sale or pre-lease contracts amount to a significant portion of total contracts or substantial equity at risk,significant portion of total contracts or substantial equity at risk,,,TRUE
OBL-0075,basel3,Preamble,"49 For such exposures, national supervisors may allow banks to apply the treatment described in paragraphs 70 to 71 subject to
the following conditions: (i) the losses stemming from commercial real estate lending up to 60% of LTV must not exceed 0.3%
of the outstanding loans in any given year and (ii) overall losses stemming from commercial real estate lending must not exceed
0.5% of the outstanding loans in any given year.",banks,may apply the treatment described in paragraphs 70 to 71,losses stemming from commercial real estate lending up to 60% of LTV must not exceed 0.3% of the outstanding loans in any given year and overall losses stemming from commercial real estate lending must not exceed 0.5% of the outstanding loans in any given year,0.3% of outstanding loans for lending up to 60% LTV and 0.5% of outstanding loans for overall commercial real estate lending,any given year,,TRUE
OBL-0076,basel3,Preamble,"Jurisdictions applying
such treatment must publicly disclose whether these conditions are met.",Jurisdictions applying such treatment,must publicly disclose whether these conditions are met,applying such treatment,,,,TRUE
OBL-0077,basel3,Preamble,"It also includes any such arrangement that can
be cancelled by the bank if the obligor fails to meet conditions set out in the facility documentation,
including conditions that must be met by the obligor prior to any initial or subsequent drawdown under
the arrangement.",bank,can cancel arrangement if obligor fails to meet conditions,"obligor fails to meet conditions set out in facility documentation, including conditions that must be met prior to any initial or subsequent drawdown",,,,TRUE
OBL-0078,basel3,Preamble,"(ii) the
client is required to apply to the bank for the initial and each subsequent drawdown;",the client,is required to apply to the bank,for the initial and each subsequent drawdown,,,,TRUE
OBL-0079,basel3,Preamble,"The risk-weighting treatment for
counterparty credit risk must be applied in addition to the credit risk charge on the securities or
posted collateral, where the credit risk of the securities lent or posted as collateral remains with
the bank.",bank,must apply the risk-weighting treatment for counterparty credit risk in addition to the credit risk charge on the securities or posted collateral,where the credit risk of the securities lent or posted as collateral remains with the bank,,,,TRUE
OBL-0080,basel3,Preamble,"Banks must closely monitor securities, commodities and foreign exchange transactions that have
failed, starting from the first day they fail.",Banks,"must closely monitor securities, commodities and foreign exchange transactions that have failed",transactions that have failed,,starting from the first day they fail,,TRUE
OBL-0081,basel3,Preamble,"A capital charge on failed transactions must be calculated in
accordance with Annex 3 of the Basel II framework (June 2006).",A capital charge on failed transactions,must be calculated in accordance with Annex 3 of the Basel II framework (June 2006),failed transactions,,,,TRUE
OBL-0082,basel3,Preamble,"Irrespective of the booking or the accounting of the transaction,
unsettled transactions must be taken into account for regulatory capital requirements purposes.",regulated entity,must take unsettled transactions into account for regulatory capital requirements purposes,irrespective of the booking or the accounting of the transaction,,,,TRUE
OBL-0083,basel3,Preamble,"Furthermore, when such transactions
are not processed through a delivery-versus-payment (DvP) or payment-versus-payment (PvP)
mechanism, banks must calculate a capital charge as set forth in Annex 3 of the Basel II framework (June
2006).",banks,must calculate a capital charge as set forth in Annex 3 of the Basel II framework (June 2006),when such transactions are not processed through a delivery-versus-payment (DvP) or payment-versus-payment (PvP) mechanism,,,,TRUE
