clause_id,section,source_text,claude_subject,claude_obligation,claude_condition,claude_threshold,claude_deadline,claude_exception,human_subject,human_obligation,human_condition,human_threshold,human_deadline,human_exception,notes
OBL-0320,Section XI,"For each pool identified, the bank must be able to provide quantitative measures of loss characteristics (PD, LGD, and EAD) for that pool.",the bank,"must be able to provide quantitative measures of loss characteristics (PD, LGD, and EAD)",for each pool identified,,,,,,,,,,
OBL-0555,Section XI,The methods and data used in such comparisons by the bank must be clearly documented by the bank.,the bank,must clearly document the methods and data used in such comparisons,when making comparisons,,,,,,,,,,
OBL-0348,Section XI,"• When combining model results with human judgement, the judgement must take into account all relevant and material information not considered by the model.",the judgement,the judgement must take into account all relevant and material information not considered by the model,When combining model results with human judgement,,,,,,,,,,
OBL-0585,Section XI,"The collateral arrangements must be properly documented, with a clear and robust procedure for the timely collection of collateral proceeds.",The collateral arrangements,must properly document collateral arrangements with clear and robust procedure for timely collection of collateral proceeds,collateral arrangements,,timely,,,,,,,,
OBL-0409,Section XI,"A credit risk control unit must actively participate in the development, selection, implementation and validation of rating models.",credit risk control unit,"must actively participate in the development, selection, implementation and validation of rating models",,,,,,,,,,,
OBL-0013,Preamble,Due diligence analysis must never result in the application of a lower risk weight than that determined by the external rating.,Due diligence analysis,Due diligence analysis must never result in the application of a lower risk weight than that determined by the external rating,Due diligence analysis,risk weight not lower than external rating determination,,,,,,,,,
OBL-0269,Section XI,The estimates for PD and LGD (or EL) must be calculated for the receivables on a stand-alone basis;,regulated entity,calculate estimates for PD and LGD (or EL) for receivables on a stand-alone basis,for receivables,,,,,,,,,,
OBL-0701,Section XI,• Total Capital (Tier 1 capital and Tier 2 capital) must be at least 8.0% of risk-weighted assets at all times.1 3.,regulated entity,must maintain Total Capital (Tier 1 capital and Tier 2 capital) at specified percentage of risk-weighted assets,at all times,at least 8.0% of risk-weighted assets,,,,,,,,,
OBL-0469,Section XI,The bank’s use of default probability models for this purpose must meet the standards specified in paragraph 185.,the bank,use of default probability models for this purpose must meet the standards specified in paragraph 185,for this purpose,,,,,,,,,,
OBL-0673,Section XI,The calculation of average losses in the Loss Component must be based on 10 years of high- quality annual loss data.,The regulated entity performing the calculation,must base the calculation of average losses in the Loss Component on high-quality annual loss data,when calculating average losses in the Loss Component,10 years of high-quality annual loss data,,,,,,,,,
OBL-0261,Section XI,The adjusted risk weight must not be less than that of a comparable direct exposure to the protection provider.,The adjusted risk weight,The adjusted risk weight must not be less than that of a comparable direct exposure to the protection provider,,not be less than that of a comparable direct exposure to the protection provider,,,,,,,,,
OBL-0342,Section XI,"Furthermore, where limited data are available, a bank must adopt a conservative bias to its analysis.",a bank,must adopt a conservative bias to its analysis,where limited data are available,,,,,,,,,,
OBL-0618,Section XI,• A bank must have a CVA desk (or a similar dedicated function) responsible for risk management and hedging of CVA.,A bank,must have a CVA desk (or a similar dedicated function) responsible for risk management and hedging of CVA,,,,,,,,,,,
OBL-0513,Section XI,"If the available observation period spans a longer period for any source, and the data are relevant, this longer period must be used.",the regulated entity,must use the longer observation period,"if the available observation period spans a longer period for any source, and the data are relevant",,,,,,,,,,
OBL-0287,Section XI,Many of these requirements are in the form of objectives that a qualifying bank’s risk rating systems must fulfil.,qualifying bank,risk rating systems must fulfil objectives/requirements,bank must be qualifying,,,,,,,,,,
OBL-0098,Preamble,"In particular, ECAIs should assign analysts with appropriate knowledge and experience to assess the creditworthiness of the type of entity or obligation being rated.",ECAIs,should assign analysts with appropriate knowledge and experience to assess the creditworthiness of the type of entity or obligation being rated,when assessing creditworthiness of entities or obligations,,,,,,,,,,
OBL-0093,Preamble,An ECAI must satisfy each of the following eight criteria.,ECAI,must satisfy each of the following eight criteria,,eight criteria,,,,,,,,,
OBL-0312,Section XI,"A bank must have a meaningful distribution of exposures across grades with no excessive concentrations, on both its borrower-rating and its facility-rating scales.",A bank,must have a meaningful distribution of exposures across grades with no excessive concentrations,on both its borrower-rating and its facility-rating scales,,,,,,,,,,
OBL-0094,Preamble,"• Objectivity: The methodology for assigning external ratings must be rigorous, systematic, and subject to some form of validation based on historical experience.",The methodology for assigning external ratings,"must be rigorous, systematic, and subject to some form of validation based on historical experience",,,,,,,,,,,
OBL-0301,Section XI,A bank must articulate in its credit policy the relationship between borrower grades in terms of the level of risk each grade implies.,A bank,must articulate in its credit policy the relationship between borrower grades in terms of the level of risk each grade implies,,,,,,,,,,,
OBL-0657,Section XI,Banks must also have a well-developed data integrity process to handle the data of erroneous and/or anomalous observations.,Banks,must have a well-developed data integrity process to handle the data of erroneous and/or anomalous observations,,,,,,,,,,,
OBL-0293,Section XI,Banks’ overall credit risk management practices must also be consistent with the evolving sound practice guidelines issued by the Committee and national supervisors.,Banks,overall credit risk management practices must be consistent with the evolving sound practice guidelines issued by the Committee and national supervisors,,,,,,,,,,,
OBL-0436,Section XI,Data collected beyond the date of implementation must conform to the minimum standards unless otherwise stated.,Data collected beyond the date of implementation,must conform to the minimum standards,Data collected beyond the date of implementation,,,unless otherwise stated,,,,,,,
OBL-0231,Section XI,LGD must be measured as the loss given default as a percentage of the EAD.,regulated entity,must measure LGD as the loss given default as a percentage of the EAD,,,,,,,,,,,
OBL-0541,Section XI,• The bank must have clear and effective policies and procedures for determining seller and servicer eligibility.,The bank,must have clear and effective policies and procedures for determining seller and servicer eligibility,,,,,,,,,,,
OBL-0039,Preamble,Issuer ratings must not be used (ie paragraph 107 does not apply in the case of specialised lending exposures).,,Issuer ratings must not be used,in the case of specialised lending exposures,,,,,,,,,,
OBL-0493,Section XI,"Where estimates of EAD differ by facility type, the delineation of these facilities must be clear and unambiguous.",,the delineation of these facilities must be clear and unambiguous,Where estimates of EAD differ by facility type,,,,,,,,,,
OBL-0356,Section XI,Rating criteria and procedures must be periodically reviewed to determine whether they remain fully applicable to the current portfolio and to external conditions.,Rating criteria and procedures,Rating criteria and procedures must be periodically reviewed to determine whether they remain fully applicable to the current portfolio and to external conditions,to determine whether they remain fully applicable to the current portfolio and to external conditions,,periodically,,,,,,,,
OBL-0403,Section XI,Internal ratings must be an essential part of the reporting to these parties.,Internal ratings,Internal ratings must be an essential part of the reporting to these parties,reporting to these parties,,,,,,,,,,
OBL-0106,Preamble,"Therefore, banks must employ robust procedures and processes to control these risks, including strategy;",banks,"must employ robust procedures and processes to control these risks, including strategy",,,,,,,,,,,
OBL-0605,Section XI,Banks must use the BA-CVA unless they receive approval from their relevant supervisory authority to use the SA-CVA.2 6.,Banks,must use the BA-CVA,unless they receive approval from their relevant supervisory authority to use the SA-CVA,,,approval from their relevant supervisory authority to use the SA-CVA,,,,,,,
OBL-0307,Section XI,"Rating systems for retail exposures must be oriented to both borrower and transaction risk, and must capture all relevant borrower and transaction characteristics.",Rating systems for retail exposures,"must be oriented to both borrower and transaction risk, and must capture all relevant borrower and transaction characteristics",for retail exposures,,,,,,,,,,
OBL-0081,Preamble,A capital charge on failed transactions must be calculated in accordance with Annex 3 of the Basel II framework (June 2006).,A capital charge on failed transactions,must be calculated in accordance with Annex 3 of the Basel II framework (June 2006),failed transactions,,,,,,,,,,
OBL-0408,Section XI,"Changes to the rating process, criteria or individual rating parameters must be documented and retained for supervisors to review.","Changes to the rating process, criteria or individual rating parameters",must be documented and retained for supervisors to review,"Changes to the rating process, criteria or individual rating parameters",,,,,,,,,,
OBL-0252,Section XI,"• For revolving exposures, effective maturity must be determined using the maximum contractual termination date of the facility.",,effective maturity must be determined using the maximum contractual termination date of the facility,for revolving exposures,,,,,,,,,,
OBL-0553,Section XI,Banks using the advanced IRB approach must complete such analysis for their estimates of LGDs and EADs.,Banks using the advanced IRB approach,must complete such analysis for their estimates of LGDs and EADs,using the advanced IRB approach,,,,,,,,,,
OBL-0446,Section XI,"A bank must also use the reference definition for its estimation of PDs, and (where relevant) LGDs and EADs.",A bank,"must also use the reference definition for its estimation of PDs, and (where relevant) LGDs and EADs",where relevant,,,,,,,,,,
OBL-0443,Section XI,National supervisors will provide appropriate guidance as to how these elements must be implemented and monitored.,National supervisors,provide appropriate guidance as to how these elements must be implemented and monitored,,,,,,,,,,,
OBL-0578,Section XI,• The bank must take steps to ensure that the property taken as collateral is adequately insured against damage or deterioration.,The bank,must take steps to ensure that the property taken as collateral is adequately insured against damage or deterioration,when property is taken as collateral,,,,,,,,,,
OBL-0563,Section XI,These standards must take account of business cycles and similar systematic variability in default experiences.,These standards,must take account of business cycles and similar systematic variability in default experiences,These standards,,,,,,,,,,
OBL-0302,Section XI,Perceived and measured risk must increase as credit quality declines from one grade to the next.,Perceived and measured risk,must increase,as credit quality declines from one grade to the next,,,,,,,,,,
OBL-0424,Section XI,"Where internal or external data is used, the bank must demonstrate that its estimates are representative of long run experience.",the bank,must demonstrate that its estimates are representative of long run experience,Where internal or external data is used,,,,,,,,,,
OBL-0177,Preamble,"In transactions in which a bank provided credit protection through such instruments, it shall apply the treatment described in paragraph 89.",bank,apply the treatment described in paragraph 89,in transactions in which a bank provided credit protection through such instruments,,,,,,,,,,
OBL-0482,Section XI,Any currency mismatch between the underlying obligation and the collateral must also be considered and treated conservatively in the bank’s assessment of LGD.,bank,must consider and treat conservatively any currency mismatch between the underlying obligation and the collateral in the assessment of LGD,currency mismatch between the underlying obligation and the collateral,,,,,,,,,,
OBL-0076,Preamble,Jurisdictions applying such treatment must publicly disclose whether these conditions are met.,Jurisdictions applying such treatment,must publicly disclose whether these conditions are met,applying such treatment,,,,,,,,,,
OBL-0612,Section XI,Banks that intend to use the full version of BA-CVA must calculate K reduced as well.,Banks,must calculate K reduced as well,that intend to use the full version of BA-CVA,,,,,,,,,,
OBL-0460,Section XI,Banks must recognise the importance of judgmental considerations in combining results of techniques and in making adjustments for limitations of techniques and information.,Banks,must recognise the importance of judgmental considerations in combining results of techniques and in making adjustments for limitations of techniques and information,,,,,,,,,,,
OBL-0200,Preamble,The bank must also apply the minimum operational requirements as set forth in Sections F and H.,The bank,must also apply the minimum operational requirements as set forth in Sections F and H,,minimum operational requirements,,,,,,,,,
OBL-0515,Section XI,"The less data a bank has, the more conservative it must be in its estimation.",bank,must be more conservative in its estimation,when the bank has less data,,,,,,,,,,
OBL-0251,Section XI,"72 Basel III: Finalising post-crisis reforms contractual obligation (principal, interest, and fees) under the terms of loan agreement.",borrower,"contractual obligation (principal, interest, and fees) under the terms of loan agreement",under the terms of loan agreement,,,,,,,,,,
OBL-0603,Section XI,"In order to be eligible for the IRB approach, banks must meet the disclosure requirements set out in Pillar 3.",banks,must meet the disclosure requirements set out in Pillar 3,In order to be eligible for the IRB approach,,,,,,,,,,
OBL-0202,Preamble,58 Basel III: Finalising post-crisis reforms • The receivables must be generated on an arm’s-length basis between the seller and the obligor.,The receivables,must be generated on an arm's-length basis between the seller and the obligor,,,,,,,,,,,
OBL-0095,Preamble,"Moreover, external ratings must be subject to ongoing review and responsive to changes in financial condition.",external ratings,must be subject to ongoing review and responsive to changes in financial condition,changes in financial condition,,,,,,,,,,
OBL-0624,Section XI,A bank must justify to its supervisor every case of mapping to single names.,A bank,must justify to its supervisor every case of mapping to single names,every case of mapping to single names,,,,,,,,,,
OBL-0710,Section XI,Banks must meet a 3% leverage ratio minimum requirement at all times.,Banks,must meet a 3% leverage ratio minimum requirement,at all times,3%,,,,,,,,,
OBL-0353,Section XI,Banks must document in writing their rating systems’ design and operational details.,Banks,must document in writing their rating systems' design and operational details,,,,,,,,,,,
OBL-0451,Section XI,"At a minimum, the re-ageing policy must include: (a) approval authorities and reporting requirements;",regulated entity,must include approval authorities and reporting requirements in the re-ageing policy,when establishing a re-ageing policy,at a minimum,,,,,,,,,
OBL-0304,Section XI,"The second dimension must reflect transaction-specific factors, such as collateral, seniority, product type, etc.",The second dimension,"The second dimension must reflect transaction-specific factors, such as collateral, seniority, product type, etc.",,,,,,,,,,,
OBL-0152,Preamble,A guarantee (counter-guarantee) or credit derivative must satisfy the following requirements: (a) it represents a direct claim on the protection provider;,guarantee (counter-guarantee) or credit derivative,must satisfy the requirements including representing a direct claim on the protection provider,,,,,,,,,,,
OBL-0305,Section XI,"Where a rating dimension reflects EL and does not separately quantify LGD, the supervisory estimates of LGD must be used.",supervisory authority/regulator,the supervisory estimates of LGD must be used,Where a rating dimension reflects EL and does not separately quantify LGD,,,,,,,,,,
OBL-0299,Section XI,The first dimension must be oriented to the risk of borrower default.,The first dimension,The first dimension must be oriented to the risk of borrower default,,,,,,,,,,,
OBL-0189,Preamble,"Where supervisors categorise certain types of commercial real estate exposures as HVCRE in their jurisdictions, they are required to make public such determinations.",supervisors,make public such determinations,where supervisors categorise certain types of commercial real estate exposures as HVCRE in their jurisdictions,,,,,,,,,,
OBL-0466,Section XI,The external institution’s criteria underlying the data used for quantification must be oriented to the risk of the borrower and not reflect transaction characteristics.,external institution,criteria underlying the data used for quantification must be oriented to the risk of the borrower and not reflect transaction characteristics,,,,,,,,,,,
OBL-0232,Section XI,Banks eligible for the IRB approach that are unable to meet these additional minimum requirements must utilise the foundation LGD treatment described above.,Banks eligible for the IRB approach,must utilise the foundation LGD treatment,that are unable to meet these additional minimum requirements,,,,,,,,,,
OBL-0481,Section XI,Cases where there is a significant degree of dependence must be addressed in a conservative manner.,,must be addressed in a conservative manner,Cases where there is a significant degree of dependence,significant degree of dependence,,,,,,,,,
OBL-0688,Section XI,"Banks must be able to identify the gross loss amounts, non-insurance recoveries, and insurance recoveries for all operational loss events.",Banks,"must be able to identify the gross loss amounts, non-insurance recoveries, and insurance recoveries",for all operational loss events,,,,,,,,,,
OBL-0455,Section XI,Banks must have in place rigorous internal policies for assessing the creditworthiness of customers who are offered overdraft accounts.,Banks,must have in place rigorous internal policies for assessing the creditworthiness,customers who are offered overdraft accounts,,,,,,,,,,
OBL-0078,Preamble,(ii) the client is required to apply to the bank for the initial and each subsequent drawdown;,the client,is required to apply to the bank,for the initial and each subsequent drawdown,,,,,,,,,,
OBL-0438,Section XI,The elements to be taken as indications of unlikeliness to pay include: • The bank puts the credit obligation on non-accrued status.,The bank,puts the credit obligation on non-accrued status,"when the bank puts the credit obligation on non-accrued status, this serves as an indication of unlikeliness to pay",,,,,,,,,,
OBL-0547,Section XI,"The bank must have clear and effective policies and procedures governing the control of receivables, credit, and cash.",The bank,"must have clear and effective policies and procedures governing the control of receivables, credit, and cash",,,,,,,,,,,
OBL-0157,Preamble,82 There must be no possibility for the protection provider to change the maturity agreed ex post.,protection provider,must not change the maturity agreed ex post,,no possibility,,,,,,,,,
OBL-0401,Section XI,"Management must also ensure, on an ongoing basis, that the rating system is operating properly.",Management,must ensure that the rating system is operating properly,on an ongoing basis,,,,,,,,,,
OBL-0611,Section XI,Eligible single-name credit instruments must: (i) reference the counterparty directly;,Eligible single-name credit instruments,must reference the counterparty directly,,,,,,,,,,,
OBL-0218,Section XI,The most recent audited financial statement of the parent company and consolidated subsidiaries must be used in order to determine asset size.,parent company and consolidated subsidiaries,must use the most recent audited financial statement to determine asset size,in order to determine asset size,,,,,,,,,,
OBL-0544,Section XI,"• The bank must have the ability to assess the characteristics of the receivables pool, including: (a) over-advances;",The bank,"must have the ability to assess the characteristics of the receivables pool, including over-advances",,,,,,,,,,,
OBL-0358,Section XI,"The organisation of rating assignment, including the internal control structure, must also be documented.",The organisation,"must document the rating assignment organization, including the internal control structure",rating assignment,,,,,,,,,,
OBL-0554,Section XI,Such comparisons must make use of historical data that are over as long a period as possible.,Such comparisons,must make use of historical data that are over as long a period as possible,Such comparisons,as long a period as possible,,,,,,,,,
OBL-0238,Section XI,"To receive recognition, the requirements outlined in paragraphs 191 to 196 of the standardised approach must be met.",,must meet the requirements outlined in paragraphs 191 to 196 of the standardised approach,To receive recognition,,,,,,,,,,
OBL-0453,Section XI,Authorised overdrafts must be subject to a credit limit set by the bank and brought to the knowledge of the client.,bank,must set a credit limit for authorised overdrafts and bring it to the knowledge of the client,authorised overdrafts,,,,,,,,,,
OBL-0474,Section XI,In all cases banks must use all relevant and material data sources as points of comparison.,banks,must use all relevant and material data sources as points of comparison,in all cases,,,,,,,,,,
OBL-0652,Section XI,"• The exposure models must reflect transaction terms and specifications in a timely, complete, and conservative fashion.",The exposure models,"The exposure models must reflect transaction terms and specifications in a timely, complete, and conservative fashion",,,timely,,,,,,,,
OBL-0196,Preamble,These criteria must be applied at a sub-portfolio level consistent with the bank’s segmentation of its retail activities generally.,bank,apply criteria at a sub-portfolio level consistent with the bank's segmentation of its retail activities generally,for retail activities segmentation,,,,,,,,,,
OBL-0473,Section XI,"Given the bank-specific basis of assigning exposures to pools, banks must regard internal data as the primary source of information for estimating loss characteristics.",banks,must regard internal data as the primary source of information for estimating loss characteristics,Given the bank-specific basis of assigning exposures to pools,,,,,,,,,,
OBL-0274,Section XI,"As with the treatments of default risk, this estimate must be computed on a stand-alone basis;",this estimate,this estimate must be computed on a stand-alone basis,As with the treatments of default risk,,,,,,,,,,
OBL-0057,Preamble,• Prudent value of property: the property must be valued according to the criteria in paragraph 62 for determining the value in the loan to value (LTV) ratio.,property,the property must be valued according to the criteria in paragraph 62 for determining the value in the loan to value (LTV) ratio,for determining prudent value of property,,,,,,,,,,
OBL-0229,Section XI,"In calculating RWA and EL amounts for the counterparty credit risk arising from the set of transactions covered by the master netting agreement, E* must be used as the EAD of the counterparty and the LGD of the counterparty must be determined using the LGD specified for unsecured exposures, as set out in paragraphs 70 and 71.",E*,use E* as the EAD of the counterparty and determine the LGD of the counterparty using the LGD specified for unsecured exposures as set out in paragraphs 70 and 71,when calculating RWA and EL amounts for the counterparty credit risk arising from the set of transactions covered by the master netting agreement,,,,,,,,,,
OBL-0031,Preamble,Banks which have assigned risk weights to their rated bank exposures based on paragraph 18 must assign risk weights for all their corporate exposures according to Table 10.,Banks which have assigned risk weights to their rated bank exposures based on paragraph 18,must assign risk weights for all their corporate exposures according to Table 10,having assigned risk weights to their rated bank exposures based on paragraph 18,,,,,,,,,,
OBL-0330,Section XI,"To ensure that banks are consistently taking into account available information, they must use all relevant and material information in assigning ratings to borrowers and facilities.",banks,must use all relevant and material information in assigning ratings to borrowers and facilities,to ensure that banks are consistently taking into account available information,,,,,,,,,,
OBL-0433,Section XI,"In order to avoid over-optimism, a bank must add to its estimates a margin of conservatism that is related to the likely range of errors.",a bank,must add to its estimates a margin of conservatism that is related to the likely range of errors,In order to avoid over-optimism,,,,,,,,,,
OBL-0278,Section XI,"Section G discusses the method by which the difference between provisions (eg specific provisions, portfolio-specific general provisions such as country risk provisions or general provisions) and expected losses may be included in or must be deducted from regulatory capital, as outlined in the definition of capital section of the Basel III framework (June 2011).",regulated entities,include in or deduct from regulatory capital the difference between provisions and expected losses according to specified method,"difference exists between provisions (specific provisions, portfolio-specific general provisions, country risk provisions, or general provisions) and expected losses",,,,,,,,,,
OBL-0065,Preamble,National supervisors should ensure that banks put in place underwriting policies with respect to the granting of mortgage loans that include the assessment of the ability of the borrower to repay.,National supervisors,should ensure that banks put in place underwriting policies with respect to the granting of mortgage loans that include the assessment of the ability of the borrower to repay,with respect to the granting of mortgage loans,,,,,,,,,,
OBL-0215,Preamble,"During the roll-out period, supervisors will ensure that no capital relief is granted for intra-group transactions which are designed to reduce a banking group’s aggregate capital charge by transferring credit risk among entities on the standardised approach, foundation and advanced IRB approaches.",supervisors,"ensure that no capital relief is granted for intra-group transactions which are designed to reduce a banking group's aggregate capital charge by transferring credit risk among entities on the standardised approach, foundation and advanced IRB approaches",during the roll-out period,,,,,,,,,,
OBL-0630,Section XI,"• For margined counterparties, the exposure simulation must capture the effects of margining collateral that is recognised as a risk mitigant along each exposure path.",regulated entity conducting exposure simulation,must capture the effects of margining collateral that is recognised as a risk mitigant along each exposure path,for margined counterparties,,,,,,,,,,
OBL-0750,Annex m,The potential future exposure (PFE) for derivative exposures must be calculated in accordance with paragraphs 146 to 187 of Annex 4 of the SA-CCR framework.,regulated entity,must calculate the potential future exposure (PFE) for derivative exposures in accordance with paragraphs 146 to 187 of Annex 4 of the SA-CCR framework,for derivative exposures,,,,,,,,,,
OBL-0743,Section XI,"In particular, this latter condition means that the failure of any single securities transaction in the settlement mechanism may delay settlement of only the matching cash leg or create an obligation to the settlement mechanism, supported by an associated credit facility.",settlement mechanism,limit the impact so that failure of any single securities transaction may only delay settlement of matching cash leg or create an obligation supported by associated credit facility,failure of any single securities transaction in the settlement mechanism,single securities transaction,,,,,,,,,
OBL-0713,Section XI,The leverage ratio buffer requirement on 1 January 2022 shall be based on the Financial Stability Board’s 2020 list of G-SIBs (based on end-2019 data).,G-SIBs (Global Systemically Important Banks),shall have leverage ratio buffer requirement based on the Financial Stability Board's 2020 list,based on the Financial Stability Board's 2020 list of G-SIBs (based on end-2019 data),,1 January 2022,,,,,,,,
OBL-0548,Section XI,"In particular, • Written internal policies must specify all material elements of the receivables purchase programme, including the advancing rates, eligible collateral, necessary documentation, concentration limits, and how cash receipts are to be handled.",Written internal policies,"must specify all material elements of the receivables purchase programme, including the advancing rates, eligible collateral, necessary documentation, concentration limits, and how cash receipts are to be handled",,,,,,,,,,,
OBL-0421,Section XI,"For exposures subject to the advanced approach, banks must also estimate an appropriate long-run default- weighted average EAD for each of its facilities as defined in paragraphs 241 and 242.",banks,must also estimate an appropriate long-run default-weighted average EAD for each of its facilities as defined in paragraphs 241 and 242,For exposures subject to the advanced approach,,,,,,,,,,
OBL-0699,Section XI,"As set out in the Basel III framework, banks must meet the following capital requirements: • Common Equity Tier 1 must be at least 4.5% of risk-weighted assets at all times.",banks,must meet the following capital requirements: Common Equity Tier 1 must be at least 4.5% of risk-weighted assets,As set out in the Basel III framework,at least 4.5% of risk-weighted assets,at all times,,,,,,,,
OBL-0504,Section XI,"The bank must also consider its ability and willingness to prevent further drawings in circumstances short of payment default, such as covenant violations or other technical default events.",The bank,must also consider its ability and willingness to prevent further drawings,"in circumstances short of payment default, such as covenant violations or other technical default events",,,,,,,,,,
OBL-0141,Preamble,"When the frequency of remargining or revaluation is longer than the minimum, the minimum haircut numbers must be scaled up depending on the actual number of business days between remargining or revaluation.",regulated entity,must scale up the minimum haircut numbers depending on the actual number of business days between remargining or revaluation,when the frequency of remargining or revaluation is longer than the minimum,minimum,,,,,,,,,
OBL-0271,Section XI,"In either case, it is important to recognise that the LGD used for the IRB capital calculation for purchased receivables cannot be less than the long-run default-weighted average loss rate given default and must be consistent with the concepts defined in paragraph 235.",regulated entity using IRB approach,ensure LGD used for IRB capital calculation for purchased receivables cannot be less than the long-run default-weighted average loss rate given default and must be consistent with concepts defined in paragraph 235,when calculating IRB capital for purchased receivables,LGD cannot be less than the long-run default-weighted average loss rate given default,,,,,,,,,
OBL-0139,Preamble,"For some transactions, depending on the nature and frequency of the revaluation and remargining provisions, different holding periods and thus different haircuts must be applied.",,different holding periods and thus different haircuts must be applied,"for some transactions, depending on the nature and frequency of the revaluation and remargining provisions",,,,,,,,,,
OBL-0254,Section XI,"For all eligible transactions the documentation must require daily revaluation, and must include provisions that must allow for the prompt liquidation or setoff of the collateral in the event of default or failure to re- margin.",documentation,"documentation must require daily revaluation, and must include provisions that must allow for the prompt liquidation or setoff of the collateral in the event of default or failure to re-margin",for all eligible transactions,,daily,,,,,,,,
OBL-0625,Section XI,"However, where historical PDs are used as part of this assessment, the resulting spread cannot be based on historical PD only – it must relate to credit markets.",,the resulting spread cannot be based on historical PD only – it must relate to credit markets,where historical PDs are used as part of this assessment,,,,,,,,,,
OBL-0591,Section XI,Banks must carry out 106 Basel III: Finalising post-crisis reforms a reassessment of this condition both periodically and when information indicates material changes in the market.,Banks,must carry out a reassessment of this condition,both periodically and when information indicates material changes in the market,,,,,,,,,,
OBL-0268,Section XI,"For purchased retail receivables, a bank must meet the risk quantification standards for retail exposures but can utilise external and internal reference data to estimate the PDs and LGDs.",a bank,must meet the risk quantification standards for retail exposures but can utilise external and internal reference data to estimate the PDs and LGDs,For purchased retail receivables,,,,,,,,,,
OBL-0645,Section XI,This documentation must set out the minimum frequency with which ongoing validation will be conducted as well as other circumstances (such as a sudden change in market behaviour).,This documentation,must set out the minimum frequency with which ongoing validation will be conducted as well as other circumstances,such as a sudden change in market behaviour,minimum frequency,,,,,,,,,
OBL-0472,Section XI,"If the available observation period spans a longer period for any source, and this data are relevant and material, this longer period must be used.",regulated entity,must use the longer observation period,"if the available observation period spans a longer period for any source, and this data are relevant and material",,,,,,,,,,
